 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp         rchrgn          nloss          no3gw        seepno3        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N            kg        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N             kg            m^3            m^3            m^3
   365    12    31  2007       6      60  aqu060                    5.647          3.056        347.178         35.281         18.250         12.141          6.062          0.000          0.000          0.000          1.245          0.000          0.093          0.319          5.647          0.000          5.647
   365    12    31  2007       7      70  aqu070                   86.718          2.965        351.731        117.561         18.250         12.141          8.737          0.000          0.000          0.000          2.880          0.000          2.152          0.454         86.718          0.000         86.718
   365    12    31  2007       8      80  aqu080                   85.169          2.966        351.681        114.458         18.250         12.141          9.273          0.000          0.000          0.000          2.964          0.000          2.243          0.482         85.169          0.000         85.169
   365    12    31  2007       9      90  aqu090                   17.265          3.010        349.515         45.322         18.250         11.747          4.592          0.000          0.000          0.000          0.773          0.000          0.225          0.240         17.265          0.000         17.265
   365    12    31  2007      10     100  aqu100                   52.402          2.979        351.045         83.829         18.250         11.256          4.701          0.000          0.000          0.000          1.101          0.000          0.702          0.245         52.402          0.000         52.402
   365    12    31  2007      11     110  aqu110                    8.241          3.038        348.100         37.511         18.250         11.747          3.986          0.000          0.000          0.000          0.624          0.000          0.092          0.209          8.241          0.000          8.241
   365    12    31  2007      12     120  aqu120                  132.698          2.943        352.842        166.962         18.250         11.822          9.635          0.000          0.000          0.000          4.019          0.000          3.629          0.499        132.698          0.000        132.698
   365    12    31  2007      13     130  aqu130                   93.975          2.962        351.908        126.869         18.250         11.256          6.475          0.000          0.000          0.000          2.054          0.000          1.731          0.336         93.975          0.000         93.975
   365    12    31  2007      14     140  aqu140                  148.362          2.945        352.771        175.684         18.250         11.822         12.525          0.000          0.000          0.000          5.344          0.000          5.277          0.649        148.362          0.000        148.362
   365    12    31  2007      15     150  aqu150                  118.078          2.961        351.973        146.768         18.250         11.822          7.702          0.000          0.000          0.000          2.867          0.000          2.583          0.400        118.078          0.000        118.078
   365    12    31  2007      16     160  aqu160                   99.660          2.959        352.037        132.417         18.250         11.822          8.917          0.000          0.000          0.000          3.017          0.000          2.525          0.463         99.660          0.000         99.660
