 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle      sedmin     tileno3
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        ----        ----
    365    12    31  2001    204       0  rtu2040               58.436      12.886       0.754      88.589       0.000       0.015       0.000       0.109       0.000
    365    12    31  2001    205       0  rtu2050                0.020       0.151       0.009       0.221       0.000       0.000       0.000       0.001       0.000
    365    12    31  2001    206       0  rtu2060               98.202       7.911       0.466      57.026       0.000       0.025       0.000       0.025       0.000
    365    12    31  2001    207       0  rtu2070               25.331       4.858       0.285      34.355       0.000       0.006       0.000       0.028       0.000
    365    12    31  2001    208       0  rtu2080                0.057       0.151       0.019       0.044       0.000       0.017       0.000       0.001       0.000
    365    12    31  2001    209       0  rtu2090                0.001       0.008       0.000       0.326       0.000       0.001       0.000       0.000       0.000
    365    12    31  2001    210       0  rtu2100                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    211       0  rtu2110               17.528       5.455       0.380      34.222       0.000       0.036       0.000       0.047       0.000
    365    12    31  2001    212       0  rtu2120                0.002       0.004       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    213       0  rtu2130                0.107       0.301       0.039       0.155       0.000       0.044       0.000       0.003       0.000
    365    12    31  2001    214       0  rtu2140                0.010       0.027       0.003       0.009       0.000       0.003       0.000       0.000       0.000
    365    12    31  2001    215       0  rtu2150                0.032       0.086       0.011       0.027       0.000       0.010       0.000       0.001       0.000
    365    12    31  2001    216       0  rtu2160               27.201       6.163       0.420      21.165       0.000       0.037       0.000       0.050       0.000
    365    12    31  2001    217       0  rtu2170                0.027       0.289       0.019       0.133       0.000       0.007       0.000       0.001       0.000
    365    12    31  2001    218       0  rtu2180              112.518       2.754       0.232      12.538       0.000       0.038       0.000       0.035       0.000
    365    12    31  2001    219       0  rtu2190              105.405       2.849       0.241      14.234       0.000       0.039       0.000       0.044       0.000
    365    12    31  2001    220       0  rtu2200              115.987       3.899       0.297      16.492       0.000       0.038       0.000       0.036       0.000
    365    12    31  2001    221       0  rtu2210                0.021       0.225       0.018       0.275       0.000       0.039       0.000       0.001       0.000
    365    12    31  2001    222       0  rtu2220                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
